Source_System,CURIE,Concept_ID,Primary_Label,Formal_Label,Synonyms,Description,Parent_IDs,Hierarchy_Path,URI,Extraction_Date
SNOMED CT,SNOMED:1303243007,1303243007,End of life pastoral visit,End of life pastoral visit (regime/therapy),End of life pastoral visit,End of life pastoral visit (regime/therapy),385736008 | 1303149001,Procedure > Regimes and therapies > Care regime > Terminal care > Dying care > End of life pastoral visit,http://snomed.info/id/1303243007,2026-02-10 12:30:50
SNOMED CT,SNOMED:1303242002,1303242002,Emergency pastoral visit,Emergency pastoral visit (regime/therapy),Emergency pastoral visit,Emergency pastoral visit (regime/therapy),373110003 | 1303149001,Procedure > Emergency procedure > Emergency pastoral visit,http://snomed.info/id/1303242002,2026-02-10 12:30:50
SNOMED CT,SNOMED:1303149001,1303149001,Pastoral visit,Pastoral visit (regime/therapy),Pastoral visit,Pastoral visit (regime/therapy),105405003,Procedure > Regimes and therapies > Care regime > Spiritual care > Spiritual therapy > Pastoral care > Pastoral visit,http://snomed.info/id/1303149001,2026-02-10 12:30:50
SNOMED CT,SNOMED:1303148009,1303148009,Administration of last rites,Administration of last rites (regime/therapy),Administration of last rites,Administration of last rites (regime/therapy),105405003,Procedure > Regimes and therapies > Care regime > Spiritual care > Spiritual therapy > Pastoral care > Administration of last rites,http://snomed.info/id/1303148009,2026-02-10 12:30:50
SNOMED CT,SNOMED:710821002,710821002,Support of spiritual ritual,Support of spiritual ritual (regime/therapy),Spiritual ritual support | Support of spiritual ritual,Support of spiritual ritual (regime/therapy),386444001,Procedure > Regimes and therapies > Care regime > Spiritual care > Spiritual therapy > Spiritual support > Support of spiritual ritual,http://snomed.info/id/710821002,2026-02-10 12:30:50
SNOMED CT,SNOMED:431517007,431517007,Bereavement support visit,Bereavement support visit (regime/therapy),Bereavement support visit,Bereavement support visit (regime/therapy),395076009,Procedure > Regimes and therapies > Care regime > Spiritual care > Spiritual therapy > Spiritual support > Bereavement support > Bereavement support visit,http://snomed.info/id/431517007,2026-02-10 12:30:50
SNOMED CT,SNOMED:395076009,395076009,Bereavement support,Bereavement support (regime/therapy),Bereavement support | Support mourning process,Bereavement support (regime/therapy),386444001,Procedure > Regimes and therapies > Care regime > Spiritual care > Spiritual therapy > Spiritual support > Bereavement support,http://snomed.info/id/395076009,2026-02-10 12:30:50
SNOMED CT,SNOMED:386444001,386444001,Spiritual support,Spiritual support (regime/therapy),Spiritual support,Spiritual support (regime/therapy),105390002 | 243114000,Procedure > Regimes and therapies > Care regime > Spiritual care > Spiritual therapy > Spiritual support,http://snomed.info/id/386444001,2026-02-10 12:30:50
SNOMED CT,SNOMED:386443007,386443007,Spiritual growth facilitation,Spiritual growth facilitation (regime/therapy),Spiritual growth facilitation,Spiritual growth facilitation (regime/therapy),105390002,Procedure > Regimes and therapies > Care regime > Spiritual care > Spiritual therapy > Spiritual growth facilitation,http://snomed.info/id/386443007,2026-02-10 12:30:50
SNOMED CT,SNOMED:386408006,386408006,Religious ritual enhancement,Religious ritual enhancement (regime/therapy),Religious ritual enhancement,Religious ritual enhancement (regime/therapy),386443007,Procedure > Regimes and therapies > Care regime > Spiritual care > Spiritual therapy > Spiritual growth facilitation > Religious ritual enhancement,http://snomed.info/id/386408006,2026-02-10 12:30:50
SNOMED CT,SNOMED:386314000,386314000,Grief work facilitation: perinatal death,Grief work facilitation: perinatal death (regime/therapy),Grief work facilitation: perinatal death,Grief work facilitation: perinatal death (regime/therapy),133922009,Procedure > Regimes and therapies > Care regime > Spiritual care > Spiritual therapy > Spiritual support > Bereavement support > Grieving support > Grief work facilitation: perinatal death,http://snomed.info/id/386314000,2026-02-10 12:30:50
SNOMED CT,SNOMED:385728004,385728004,Spiritual comfort,Spiritual comfort (regime/therapy),Spiritual comfort,Spiritual comfort (regime/therapy),133918004 | 105390002,Procedure > Regimes and therapies > Care regime > Comfort measures > Spiritual comfort,http://snomed.info/id/385728004,2026-02-10 12:30:50
SNOMED CT,SNOMED:134387000,134387000,Laying on of hands with prayer,Laying on of hands with prayer (regime/therapy),Laying on of hands with prayer,Laying on of hands with prayer (regime/therapy),105390002,Procedure > Regimes and therapies > Care regime > Spiritual care > Spiritual therapy > Laying on of hands with prayer,http://snomed.info/id/134387000,2026-02-10 12:30:50
SNOMED CT,SNOMED:133922009,133922009,Grieving support,Grieving support (regime/therapy),Grieving support,Grieving support (regime/therapy),395076009,Procedure > Regimes and therapies > Care regime > Spiritual care > Spiritual therapy > Spiritual support > Bereavement support > Grieving support,http://snomed.info/id/133922009,2026-02-10 12:30:50
SNOMED CT,SNOMED:105410004,105410004,Spiritual rehabilitation,Spiritual rehabilitation (regime/therapy),Spiritual rehabilitation,Spiritual rehabilitation (regime/therapy),52052004 | 105390002,Procedure > Regimes and therapies > Therapy > Rehabilitation therapy > Spiritual rehabilitation,http://snomed.info/id/105410004,2026-02-10 12:30:50
SNOMED CT,SNOMED:105405003,105405003,Pastoral care,Pastoral care (regime/therapy),Pastoral care,Pastoral care (regime/therapy),105390002,Procedure > Regimes and therapies > Care regime > Spiritual care > Spiritual therapy > Pastoral care,http://snomed.info/id/105405003,2026-02-10 12:30:50
SNOMED CT,SNOMED:105393000,105393000,Counseling by chaplain,Counseling by chaplain (regime/therapy),Counseling by chaplain | Counselling by chaplain,Counseling by chaplain (regime/therapy),409063005 | 105405003,Procedure > Procedure by method > Counseling > Counseling by chaplain,http://snomed.info/id/105393000,2026-02-10 12:30:50
SNOMED CT,SNOMED:105392005,105392005,Intervention by institution-based chaplain,Intervention by institution-based chaplain (regime/therapy),Intervention by institution-based chaplain,Intervention by institution-based chaplain (regime/therapy),105391003,Procedure > Regimes and therapies > Care regime > Spiritual care > Spiritual therapy > Pastoral care > Intervention by chaplain > Intervention by institution-based chaplain,http://snomed.info/id/105392005,2026-02-10 12:30:50
SNOMED CT,SNOMED:105391003,105391003,Intervention by chaplain,Intervention by chaplain (regime/therapy),Intervention by chaplain,Intervention by chaplain (regime/therapy),105405003,Procedure > Regimes and therapies > Care regime > Spiritual care > Spiritual therapy > Pastoral care > Intervention by chaplain,http://snomed.info/id/105391003,2026-02-10 12:30:50
SNOMED CT,SNOMED:105390002,105390002,Spiritual therapy,Spiritual therapy (regime/therapy),Spiritual therapy,Spiritual therapy (regime/therapy),385988005,Procedure > Regimes and therapies > Care regime > Spiritual care > Spiritual therapy,http://snomed.info/id/105390002,2026-02-10 12:30:50
SNOMED CT,SNOMED:309457007,309457007,Vicar,Vicar (occupation),Vicar,Vicar (occupation),11015003,Social context > Occupation > Professional scientist/engineer/technologist > Professional technical AND/OR related worker > Worker in religion > Minister of religion AND/OR related member of religious order > Minister of religion > Vicar,http://snomed.info/id/309457007,2026-02-10 13:11:30
SNOMED CT,SNOMED:225725005,225725005,Chaplain,Chaplain (occupation),Chaplain,Chaplain (occupation),11015003,Social context > Occupation > Professional scientist/engineer/technologist > Professional technical AND/OR related worker > Worker in religion > Minister of religion AND/OR related member of religious order > Minister of religion > Chaplain,http://snomed.info/id/225725005,2026-02-10 13:11:30
SNOMED CT,SNOMED:119246008,119246008,Imam,Imam (occupation),Imam,Muslim prayer leader,11015003,Social context > Occupation > Professional scientist/engineer/technologist > Professional technical AND/OR related worker > Worker in religion > Minister of religion AND/OR related member of religious order > Minister of religion > Imam,http://snomed.info/id/119246008,2026-02-10 13:11:30
SNOMED CT,SNOMED:79918004,79918004,Ordained priest,Ordained priest (occupation),Priest | Ordained priest,Ordained priest (occupation),11015003,Social context > Occupation > Professional scientist/engineer/technologist > Professional technical AND/OR related worker > Worker in religion > Minister of religion AND/OR related member of religious order > Minister of religion > Ordained priest,http://snomed.info/id/79918004,2026-02-10 13:11:30
SNOMED CT,SNOMED:53564008,53564008,Ordained clergy,Ordained clergy (occupation),Ordained clergy,Ordained clergy (occupation),11015003,Social context > Occupation > Professional scientist/engineer/technologist > Professional technical AND/OR related worker > Worker in religion > Minister of religion AND/OR related member of religious order > Minister of religion > Ordained clergy,http://snomed.info/id/53564008,2026-02-10 13:11:30
SNOMED CT,SNOMED:48639005,48639005,Ordained minister,Ordained minister (occupation),Ordained minister,Ordained minister (occupation),11015003,Social context > Occupation > Professional scientist/engineer/technologist > Professional technical AND/OR related worker > Worker in religion > Minister of religion AND/OR related member of religious order > Minister of religion > Ordained minister,http://snomed.info/id/48639005,2026-02-10 13:11:30
SNOMED CT,SNOMED:14613005,14613005,Ordained rabbi,Ordained rabbi (occupation),Ordained rabbi,Ordained rabbi (occupation),11015003,Social context > Occupation > Professional scientist/engineer/technologist > Professional technical AND/OR related worker > Worker in religion > Minister of religion AND/OR related member of religious order > Minister of religion > Ordained rabbi,http://snomed.info/id/14613005,2026-02-10 13:11:30
SNOMED CT,SNOMED:11015003,11015003,Minister of religion,Minister of religion (occupation),Religion minister | Minister of religion,Minister of religion (occupation),106311007,Social context > Occupation > Professional scientist/engineer/technologist > Professional technical AND/OR related worker > Worker in religion > Minister of religion AND/OR related member of religious order > Minister of religion,http://snomed.info/id/11015003,2026-02-10 13:11:30
